time_ms,sensor_interval_ms,act_exec_ms
2398131,0.000,0.184
2398331,50.008,0.089
2398531,50.002,0.091
2398731,49.999,0.089
2398931,50.000,0.089
2399131,50.000,0.089
2399331,50.003,0.090
2399531,50.000,0.089
2399731,49.996,0.092
2399931,49.999,0.089
2400131,49.999,0.089
2400331,50.000,0.089
2400531,49.998,0.088
2400731,50.000,0.089
2400931,50.000,0.090
2401131,50.000,0.089
2401331,50.000,0.089
2401531,50.000,0.089
2401731,50.000,0.089
2401931,50.000,0.088
2402131,50.000,0.089
2402331,50.006,0.089
2402531,49.997,0.089
2402731,50.000,0.090
2402931,50.000,0.089
2403131,50.000,0.090
2403331,49.995,0.089
2403531,49.996,0.089
2403731,50.000,0.089
2403931,50.001,0.089
2404131,49.995,0.089
2404331,49.995,0.088
2404531,50.001,0.089
2404731,50.001,0.090
2404931,50.002,0.089
2405131,50.000,0.090
2405331,49.999,0.089
2405531,50.000,0.089
2405731,50.000,0.089
2405931,50.000,0.089
2406131,49.995,0.089
2406331,49.999,0.089
2406531,50.000,0.089
2406731,50.000,0.089
2406931,50.000,0.089
2407131,49.999,0.089
2407331,50.000,0.089
2407531,50.001,0.089
2407731,49.998,0.089
2407931,50.001,0.089
2408131,50.000,0.089
2408331,50.000,0.089
2408531,50.000,0.089
2408731,50.000,0.089
2408931,50.000,0.089
2409131,50.000,0.088
2409331,50.000,0.089
2409531,50.000,0.089
2409731,50.001,0.089
2409931,50.000,0.089
2410131,50.005,0.089
2410331,50.005,0.089
2410531,50.001,0.089
2410731,49.998,0.088
2410931,49.993,0.089
2411131,49.999,0.089
2411331,50.000,0.089
2411531,50.003,0.089
2411731,50.006,0.089
2411931,50.004,0.089
2412131,49.998,0.090
2412331,50.000,0.088
2412531,49.999,0.089
2412731,50.000,0.089
2412931,50.000,0.089
2413131,50.000,0.089
2413331,49.999,0.089
2413531,50.000,0.089
2413731,50.000,0.089
2413931,50.000,0.089
2414131,50.000,0.089
2414331,50.006,0.091
2414531,50.000,0.089
2414731,49.999,0.089
